domain.size,number.of.predicates,number.of.variables,number.of.facts,Cycle breaking,Grounding,maximum.number.of.nodes,Compiling SDDExplicit,maximum.arity,proportion.probabilistic,Propagating evidence,Total time,number.of.independent.pairs,answer,instance,universe.size
200,8,8,1200.0,0.0002,0.0021,8,0.0004,1,0.75,0.0000,0.1831,22,0.7,6,1600
100,2,2,10000,0.0001,0.0013,4,0.0003,3,0.75,0.0000,3.1586,1,0.6,1,1010000
100,8,2,600.0,0.0000,0.0025,4,0.0003,1,0.5,0.0000,0.1069,12,1,7,800
100,8,4,1000,0.0000,0.0022,8,0.0002,3,0.5,0.0000,0.2109,12,1,1,4020200
100,8,8,10000,0.0000,0.0013,4,0.0002,3,0.75,0.0000,2.9629,15,1,8,4020200
200,8,8,1200.0,,59.6837,4,,1,0.25,0.0000,60.0003,11,,5,1600
100,8,2,10000,0.0000,0.0008,2,0.0002,2,0.75,0.0000,1.7829,19,1,4,50300
200,8,8,1200.0,,0.1832,2,,1,0.25,0.0000,0.3383,1,,1,1600
400,8,2,2400.0,,59.6440,4,,1,0.75,0.0000,60.0002,9,,7,3200
200,8,8,10000,,0.0167,8,,2,0.75,0.0000,2.0316,4,,5,240400
100,8,2,10000,0.0001,0.0012,2,0.0003,3,0.5,0.0000,2.8772,28,0.2,0,3030200
400,8,4,100000,,0.0138,8,,3,0.25,0.0000,25.3647,1,,1,128481200
400,8,8,10000,,0.0549,8,,2,0.25,0.0003,1.6243,20,,9,322400
100,8,8,10000,0.0004,0.0035,4,0.0008,3,0.5,0.0000,2.6729,17,0.28,0,5020100
100,8,2,100000,0.0001,0.0031,2,0.0004,3,0.75,0.0000,23.2235,28,0.3,8,3010400
100,8,4,100000,0.0000,0.0014,4,0.0002,3,0.75,0.0000,32.6355,15,1,7,5020100
200,8,8,1200.0,0.0008,0.0087,2,0.0016,1,0.75,0.0000,0.6080,5,0.37,2,1600
100,8,2,1000,0.0000,0.0011,8,0.0002,2,0.5,0.0000,0.1953,26,1,5,70100
100,8,4,100000,,33.4973,8,,3,0.25,0.0000,60.0003,1,,4,3030200
200,8,2,100000,0.0000,0.0013,4,0.0002,3,0.25,0.0000,25.4937,23,1,3,16120600
200,8,8,10000,,0.0161,2,,2,0.5,0.0000,2.5541,12,,8,280200
100,8,2,100000,0.0000,0.0017,2,0.0003,3,0.75,0.0000,30.4709,22,1,4,3030200
100,2,8,150.0,,0.0057,8,,1,0.5,0.0000,0.0427,1,,9,200
400,8,2,1000,,0.0046,2,,3,0.25,0.0000,0.2536,22,,2,256161200
200,4,4,30450.0,,0.3928,4,,2,0.75,0.0000,6.5093,6,,8,40600
400,8,4,100000,0.0001,0.0016,8,0.0002,3,0.75,0.0000,29.5919,12,0.8,2,128321600
100,8,8,100000,0.0001,0.0033,2,0.0005,3,0.75,0.0000,34.0229,23,0.9,0,3000500
200,8,4,10000,0.0001,0.0021,2,0.0005,3,0.75,0.0000,2.1053,21,0.1,8,16160400
400,4,4,100000,0.0000,0.0014,2,0.0002,2,0.25,0.0000,21.8279,0,1,2,480400
400,8,2,100000,0.0001,0.0022,4,0.0003,3,0.25,0.0000,27.6059,8,1,2,192161600
200,8,4,10000,0.0001,0.0050,2,0.0005,3,0.5,0.0000,2.7178,21,0.6,5,16041000
200,8,4,10000,0.0001,0.0012,2,0.0003,2,0.75,0.0000,1.9296,16,0.5,6,200600
200,4,4,90150.0,0.0000,0.0069,8,0.0002,2,0.5,0.0002,18.6408,4,1,6,120200
200,8,8,1000,0.0000,0.0044,8,0.0003,2,0.25,0.0000,0.1724,4,1,8,320000
200,4,8,1000,0.0000,0.0014,4,0.0003,3,0.5,0.0000,0.2118,1,1,4,16040200
200,8,2,1000,0.0000,0.0020,2,0.0003,2,0.25,0.0000,0.1077,19,1,2,200600
200,8,4,100000,0.0001,0.0019,2,0.0003,3,0.75,0.0000,29.8283,21,0.5,6,24080600
200,8,2,1000,0.0001,0.0014,4,0.0003,3,0.75,0.0000,0.2577,23,0.2,1,24080600
100,2,2,1000,0.0001,0.0009,4,0.0003,3,0.75,0.0000,0.2253,1,0.4,3,1010000
100,8,2,1000,0.0000,0.0026,4,0.0003,2,0.75,0.0000,0.2417,17,1,8,40400
200,8,4,1200.0,0.0004,0.0042,8,0.0010,1,0.5,0.0000,0.2082,10,0.307,7,1600
400,8,4,100000,0.0000,0.0014,2,0.0001,3,0.5,0.0000,27.1164,27,1,3,256161200
100,8,8,100000,0.0000,0.0013,4,0.0001,3,0.25,0.0000,27.4126,17,1,9,3010400
100,8,8,600.0,,0.0020,8,,1,0.75,0.0000,0.0811,15,,8,800
100,4,8,100000,0.0001,0.0019,4,0.0002,3,0.5,0.0000,29.9922,1,0.4,7,3010000
400,8,8,100000,,0.1476,4,,3,0.5,0.0000,29.6794,17,,7,192321200
400,8,8,2400.0,,1.1312,8,,1,0.5,0.0000,1.6953,8,,2,3200
200,8,2,1200.0,,0.5591,4,,1,0.25,0.0000,0.7101,12,829.,8,1600
200,8,4,10000,0.0001,0.0022,2,0.0005,2,0.25,0.0000,1.8158,16,0.2,2,200600
200,8,8,100000,,0.4923,8,,2,0.25,0.0000,23.1113,20,,5,200600
200,8,4,10000,0.0000,0.0010,2,0.0002,3,0.5,0.0000,1.7830,27,1,0,40080200
100,4,4,10000,0.0002,0.0013,4,0.0003,3,0.5,0.0000,2.7122,1,0.1,2,2020000
400,8,8,1000,0.0001,0.0009,2,0.0002,2,0.75,0.0000,0.1619,12,0.9,7,960800
200,4,4,100000,0.0000,0.0017,4,0.0001,3,0.5,0.0000,29.4852,1,1,2,16080000
400,8,4,2400.0,,0.5142,8,,1,0.75,0.0000,0.9335,10,,8,3200
400,4,4,10000,0.0001,0.0011,4,0.0003,3,0.25,0.0000,2.8595,1,0.5,2,128320000
400,8,2,100000,0.0001,0.0016,2,0.0005,3,0.5,0.0000,26.4301,28,0.1,2,192480800
400,8,2,100000,0.0003,0.0029,8,0.0010,2,0.5,0.0000,23.5817,26,1,6,322400
100,8,8,22875.0,0.0000,0.0013,2,0.0001,2,0.75,0.0000,4.5882,12,1,0,30500
200,8,2,100000,0.0000,0.0013,8,0.0001,2,0.5,0.0000,21.7430,26,1,9,160800
400,8,8,100000,,0.4761,8,,2,0.75,0.0000,26.0417,4,,8,1280000
400,8,4,10000,0.0000,0.0026,2,0.0002,3,0.25,0.0000,1.3074,27,1,9,128481200
100,8,8,100000,0.0001,0.0028,4,0.0005,3,0.75,0.0000,33.0287,17,0.7,5,3030200
400,8,2,10000,0.0001,0.0013,2,0.0003,2,0.75,0.0000,1.8841,27,0.5,7,482000
200,8,2,100000,0.0001,0.0023,4,0.0003,3,0.75,0.0000,29.9366,23,0.2,2,40120000
200,8,4,1000,0.0001,0.0014,2,0.0003,3,0.75,0.0000,0.2251,27,0.2,7,16120600
100,8,4,10000,0.0001,0.0013,2,0.0003,3,0.75,0.0000,3.3608,21,0.6,5,2010500
200,4,4,100000,0.0001,0.0027,4,0.0004,3,0.75,0.0000,31.8017,1,1,3,24000200
100,8,4,15450.0,0.0001,0.0012,8,0.0002,2,0.75,0.0000,3.9303,9,0.6,0,20600
400,8,8,1000,,0.0040,4,,3,0.75,0.0000,0.2054,15,,5,256001600
100,8,8,600.0,,0.0047,8,,1,0.75,0.0000,0.1665,22,,7,800
400,8,8,100000,,0.2268,8,,2,0.75,0.0000,27.5407,20,,5,801200
200,8,4,1000,0.0001,0.0010,8,0.0002,2,0.75,0.0000,0.1738,9,0.5,4,280200
200,8,4,10000,,41.6020,8,,2,0.25,0.0000,42.7122,9,,9,200600
200,4,4,10000,,57.3885,8,,3,0.5,0.0000,60.0003,6,,8,8080200
100,8,8,10000,0.0001,0.0021,2,0.0004,2,0.5,0.0000,2.3541,12,0.7,6,30500
200,8,4,10000,0.0000,0.0013,8,0.0002,2,0.5,0.0000,1.8338,9,1,8,121000
100,4,4,10000,0.0002,0.0037,4,0.0008,3,0.75,0.0000,3.2299,1,0.28,3,3000100
400,8,8,100000,0.0001,0.0026,4,0.0002,3,0.25,0.0000,28.3409,15,1,3,192321200
400,8,2,2400.0,0.0004,0.0123,8,0.0012,1,0.25,0.0002,0.6563,6,0.943,3,3200
400,8,2,1000,0.0001,0.0021,4,0.0005,3,0.75,0.0000,0.3462,15,0.7,2,128481200
100,8,2,1000,0.0002,0.0022,2,0.0005,2,0.5,0.0000,0.3313,19,0.9,7,50300
400,8,8,100000,,0.4050,2,,2,0.5,0.0000,56.6094,1,,0,482000
100,8,2,100000,0.0001,0.0027,4,0.0002,3,0.25,0.0000,57.4028,23,1,0,4020200
200,8,2,10000,0.0000,0.0052,2,0.0003,3,0.25,0.0002,3.5620,22,1,1,24160200
100,8,2,100000,0.0001,0.0020,4,0.0002,3,0.75,0.0000,52.6713,23,0.3,1,3020300
100,4,4,15150.0,0.0000,0.0026,2,0.0002,2,0.25,0.0000,4.1250,0,1,4,20200
100,8,2,10000,0.0000,0.0014,4,0.0002,3,0.75,0.0000,2.0024,8,1,6,4010300
100,4,4,1000,0.0001,0.0020,8,0.0004,3,0.25,0.0000,0.3802,6,1,6,2010100
400,8,8,2400.0,,0.0055,8,,1,0.5,0.0000,0.5882,20,,9,3200
200,8,4,100000,0.0000,0.0014,4,0.0003,3,0.25,0.0000,25.8058,15,1,4,24120400
