maximum.number.of.nodes,number.of.variables,number.of.independent.pairs,domain.size,number.of.facts,universe.size,Propagating evidence,Grounding,DSharp compilation,proportion.probabilistic,instance,Cycle breaking,Clark's completion,answer,number.of.predicates,maximum.arity,Total time
4,2,1,100,1000,1010000,0.0000,0.0021,0.0008,0.75,3,0.0001,0.0001,0.4,2,3,0.4439
4,2,17,100,1000,40400,0.0000,0.0023,0.0004,0.75,8,0.0001,0.0000,1,8,2,0.2473
8,4,10,200,1200.0,1600,0.0000,0.0032,0.0115,0.5,7,0.0003,0.0001,0.307,8,1,0.1887
2,4,27,400,100000,256161200,0.0000,0.0015,0.0005,0.5,3,0.0000,0.0000,1,8,3,26.5980
4,8,17,100,100000,3010400,0.0000,0.0013,0.0003,0.25,9,0.0000,0.0000,1,8,3,20.3907
8,8,15,100,600.0,800,0.0000,0.0021,,0.75,8,,,,8,1,0.0624
4,8,1,100,100000,3010000,0.0000,0.0017,0.0004,0.5,7,0.0001,0.0000,0.4,4,3,25.0332
4,8,17,400,100000,192321200,0.0000,0.0774,,0.5,7,,,,8,3,24.9541
8,8,8,400,2400.0,3200,0.0000,0.3704,,0.5,2,,,,8,1,0.5781
4,2,12,200,1200.0,1600,0.0000,0.3230,,0.25,8,,,829.,8,1,0.4854
2,4,16,200,10000,200600,0.0000,0.0009,0.0004,0.25,2,0.0001,0.0000,0.2,8,2,1.1421
8,8,20,200,100000,200600,0.0000,0.4462,,0.25,5,,,,8,2,13.9065
2,4,27,200,10000,40080200,0.0001,0.0089,0.0004,0.5,0,0.0000,0.0000,1,8,3,1.5588
4,4,1,100,10000,2020000,0.0000,0.0020,0.0006,0.5,2,0.0001,0.0000,0.1,4,3,2.8752
2,8,12,400,1000,960800,0.0000,0.0009,0.0003,0.75,7,0.0001,0.0000,0.9,8,2,0.1405
4,4,1,200,100000,16080000,0.0000,0.0017,0.0005,0.5,2,0.0000,0.0001,1,4,3,23.9691
8,4,10,400,2400.0,3200,0.0000,0.6301,,0.75,8,,,,8,1,1.0439
4,4,1,400,10000,128320000,0.0000,0.0011,0.0004,0.25,2,0.0001,0.0000,0.5,4,3,2.2779
2,2,28,400,100000,192480800,0.0000,0.0023,0.0008,0.5,2,0.0001,0.0001,0.1,8,3,20.7711
8,2,26,400,100000,322400,0.0000,0.0017,0.0005,0.5,6,0.0000,0.0000,1,8,2,25.7687
2,8,12,100,22875.0,30500,0.0000,0.0009,0.0003,0.75,0,0.0000,0.0000,1,8,2,3.7569
8,2,26,200,100000,160800,0.0000,0.0008,0.0003,0.5,9,0.0000,0.0000,1,8,2,23.0296
8,8,4,400,100000,1280000,0.0000,0.3423,,0.75,8,,,,8,2,16.0363
2,4,27,400,10000,128481200,0.0000,0.0027,0.0003,0.25,9,0.0000,0.0000,1,8,3,1.4322
4,8,17,100,100000,3030200,0.0000,0.0020,0.0006,0.75,5,0.0001,0.0000,0.7,8,3,24.9457
2,2,27,400,10000,482000,0.0000,0.0008,0.0003,0.75,7,0.0001,0.0000,0.5,8,2,1.3594
4,2,23,200,100000,40120000,0.0000,0.0021,0.0006,0.75,2,0.0001,0.0001,0.2,8,3,26.6023
2,4,27,200,1000,16120600,0.0000,0.0012,0.0004,0.75,7,0.0001,0.0000,0.2,8,3,0.1781
2,4,21,100,10000,2010500,0.0000,0.0024,0.0008,0.75,5,0.0001,0.0001,0.6,8,3,3.8095
4,4,1,200,100000,24000200,0.0000,0.0013,0.0003,0.75,3,0.0000,0.0000,1,4,3,24.5481
8,4,9,100,15450.0,20600,0.0000,0.0010,0.0004,0.75,0,0.0001,0.0000,0.6,8,2,2.4876
4,8,15,400,1000,256001600,0.0000,0.0030,,0.75,5,,,,8,3,0.1850
8,8,22,100,600.0,800,0.0000,0.0021,,0.75,7,,,,8,1,0.0628
8,8,20,400,100000,801200,0.0000,0.2382,,0.75,5,,,,8,2,20.7049
8,4,9,200,1000,280200,0.0000,0.0016,0.0006,0.75,4,0.0001,0.0001,0.5,8,2,0.2364
8,4,9,200,10000,200600,0.0000,41.6215,,0.25,9,,,,8,2,43.3861
8,4,6,200,10000,8080200,0.0000,57.3886,,0.5,8,,,,4,3,60.0002
2,8,12,100,10000,30500,0.0000,0.0015,0.0006,0.5,6,0.0001,0.0000,0.7,8,2,2.4954
8,4,9,200,10000,121000,0.0000,0.0011,0.0004,0.5,8,0.0000,0.0000,1,8,2,2.1639
4,4,1,100,10000,3000100,0.0000,0.0031,0.0156,0.75,3,0.0002,0.0000,0.28,4,3,2.4540
4,8,15,400,100000,192321200,0.0000,0.0009,0.0003,0.25,3,0.0000,0.0000,1,8,3,17.7893
8,2,6,400,2400.0,3200,0.0000,0.0033,0.0106,0.25,3,0.0002,0.0000,0.943,8,1,0.1847
4,2,15,400,1000,128481200,0.0000,0.0010,0.0004,0.75,2,0.0001,0.0000,0.7,8,3,0.1264
