maximum.arity,number.of.predicates,number.of.variables,domain.size,number.of.facts,universe.size,Propagating evidence,Cycle breaking,instance,Grounding,number.of.independent.pairs,Total time,Compiling BDD,answer,proportion.probabilistic,maximum.number.of.nodes
3,8,4,100,1000,4020200,0.0000,0.0000,1,0.0024,12,0.2263,0.0021,1,0.5,8
3,8,8,100,10000,4020200,0.0000,0.0000,8,0.0013,15,2.7567,0.0024,1,0.75,4
1,8,8,200,1200.0,1600,0.0000,,5,59.8336,11,60.0002,,,0.25,4
2,8,2,100,10000,50300,0.0000,0.0000,4,0.0027,19,2.3150,0.0021,1,0.75,2
1,8,8,200,1200.0,1600,0.0000,,1,0.2060,1,0.3787,,,0.25,2
1,8,2,400,2400.0,3200,0.0000,,7,59.7666,9,60.0002,,,0.75,4
2,8,8,200,10000,240400,0.0000,,5,0.0197,4,2.1912,,,0.75,8
3,8,2,100,10000,3030200,0.0000,0.0001,0,0.0012,28,1.3795,0.0015,0.2,0.5,2
3,8,4,400,100000,128481200,0.0000,,1,0.0089,1,14.2064,,,0.25,8
2,8,8,400,10000,322400,0.0000,,9,0.0317,20,1.8659,,,0.25,8
3,8,8,100,10000,5020100,0.0000,0.0002,0,0.0052,17,2.5072,0.0033,0.28,0.5,4
3,8,2,100,100000,3010400,0.0000,0.0001,8,0.0020,28,19.3696,0.0024,0.3,0.75,2
3,8,4,100,100000,5020100,0.0000,0.0000,7,0.0016,15,21.6314,0.0023,1,0.75,4
1,8,8,200,1200.0,1600,0.0000,0.0005,2,0.0048,5,0.2189,0.0029,0.37,0.75,2
2,8,2,100,1000,70100,0.0000,0.0000,5,0.0013,26,0.2095,0.0020,1,0.5,8
3,8,4,100,100000,3030200,0.0000,,4,36.6104,1,60.0002,,,0.25,8
3,8,2,200,100000,16120600,0.0000,0.0000,3,0.0009,23,19.7841,0.0012,1,0.25,4
2,8,8,200,10000,280200,0.0000,,8,0.0146,12,2.0943,,,0.5,2
3,8,2,100,100000,3030200,0.0000,0.0000,4,0.0021,22,27.1344,0.0023,1,0.75,2
1,2,8,100,150.0,200,0.0000,,9,0.0031,1,0.0301,,,0.5,8
3,8,2,400,1000,256161200,0.0000,,2,0.0032,22,0.2090,,,0.25,2
2,4,4,200,30450.0,40600,0.0000,,8,0.2948,6,7.3725,,,0.75,4
3,8,4,400,100000,128321600,0.0000,0.0001,2,0.0018,12,28.5371,0.0026,0.8,0.75,8
3,8,8,100,100000,3000500,0.0000,0.0001,0,0.0018,23,28.0265,0.0041,0.9,0.75,2
3,8,4,200,10000,16160400,0.0000,0.0001,8,0.0016,21,2.5783,0.0026,0.1,0.75,2
2,4,4,400,100000,480400,0.0000,0.0000,2,0.0014,0,20.6598,0.0022,1,0.25,2
3,8,2,400,100000,192161600,0.0000,0.0000,2,0.0011,8,19.7646,0.0013,1,0.25,4
3,8,4,200,10000,16041000,0.0000,0.0001,5,0.0010,21,1.5159,0.0019,0.6,0.5,2
2,8,4,200,10000,200600,0.0000,0.0001,6,0.0009,16,1.4381,0.0014,0.5,0.75,2
2,4,4,200,90150.0,120200,0.0000,0.0000,6,0.0015,4,19.4185,0.0022,1,0.5,8
2,8,8,200,1000,320000,0.0000,0.0000,8,0.0009,4,0.2158,0.0012,1,0.25,8
3,4,8,200,1000,16040200,0.0000,0.0000,4,0.0017,1,0.5290,0.0040,1,0.5,4
2,8,2,200,1000,200600,0.0000,0.0000,2,0.0019,19,0.1859,0.0018,1,0.25,2
3,8,4,200,100000,24080600,0.0000,0.0001,6,0.0020,21,27.0838,0.0026,0.5,0.75,2
3,8,2,200,1000,24080600,0.0000,0.0001,1,0.0010,23,0.1386,0.0015,0.2,0.75,4
3,2,2,100,1000,1010000,0.0000,0.0001,3,0.0011,1,0.1578,0.0015,0.4,0.75,4
2,8,2,100,1000,40400,0.0000,0.0000,8,0.0019,17,0.1242,0.0013,1,0.75,4
1,8,4,200,1200.0,1600,0.0000,0.0003,7,0.0030,10,0.1267,0.0021,0.307,0.5,8
3,8,4,400,100000,256161200,0.0000,0.0000,3,0.0014,27,24.6129,0.0045,1,0.5,2
3,8,8,100,100000,3010400,0.0000,0.0000,9,0.0013,17,18.8553,0.0013,1,0.25,4
1,8,8,100,600.0,800,0.0000,,8,0.0021,15,0.0648,,,0.75,8
3,4,8,100,100000,3010000,0.0000,0.0002,7,0.0029,1,31.9689,0.0040,0.4,0.5,4
3,8,8,400,100000,192321200,0.0000,,7,0.4185,17,24.2886,,,0.5,4
1,8,8,400,2400.0,3200,0.0000,,2,0.7169,8,1.0925,,,0.5,8
1,8,2,200,1200.0,1600,0.0000,,8,0.5114,12,0.6793,,829.,0.25,4
