maximum.number.of.nodes,Clark's completion,Transform output,Propagating evidence,number.of.predicates,instance,Total time,maximum.arity,number.of.independent.pairs,domain.size,proportion.probabilistic,Solver call,Grounding,Transform input,Cycle breaking,universe.size,number.of.facts,number.of.variables,answer
4,0.0000,,0.0000,8,2,2.4494,3,15,100,0.5,,0.0014,,0.0000,4030100,10000,4,1
2,0.0000,,0.0000,8,3,23.0096,2,19,400,0.75,,0.0013,,0.0000,801200,100000,2,1
8,,,0.0000,8,0,0.1448,1,6,400,0.25,,0.0059,,,3200,1000,2,
2,0.0000,,0.0001,8,6,2.6117,3,28,400,0.5,,0.0046,,0.0000,384320000,10000,2,1
4,,,0.0000,8,0,0.1154,1,9,100,0.75,,0.0035,,,800,600.0,2,
8,,,0.0000,8,4,0.1188,1,3,100,0.75,,0.0054,,,800,600.0,4,
2,0.0000,0.0000,0.0000,8,7,8.9458,2,19,100,0.75,0.0266,0.0014,0.0002,0.0001,50300,37725.0,2,0.3
2,,,0.0000,2,8,0.2212,2,0,400,0.5,,0.0092,,,320000,1000,4,
2,0.0000,,0.0000,8,7,0.2630,3,3,100,0.75,,0.0035,,0.0000,2050100,1000,4,1
2,0.0000,,0.0000,8,3,18.1060,3,27,100,0.75,,0.0014,,0.0000,4010300,100000,4,1
2,0.0000,,0.0000,8,3,1.4840,3,23,200,0.75,,0.0009,,0.0000,48080000,10000,8,1
4,0.0000,0.0000,0.0000,8,1,23.2833,3,17,200,0.5,0.0190,0.0019,0.0002,0.0001,24080600,100000,8,0.956
4,0.0000,,0.0000,4,7,0.2357,3,1,400,0.75,,0.0112,,0.0000,192000400,1000,4,1
2,,,0.0000,8,3,0.6796,1,1,400,0.75,,0.0113,,,3200,2400.0,8,
8,,,0.0000,8,5,2.4638,3,1,200,0.75,,0.0339,,,24200000,10000,4,
2,0.0000,0.0000,0.0000,8,2,2.3363,3,21,100,0.25,0.0157,0.0013,0.0001,0.0001,4010300,10000,4,0.8
8,0.0000,0.0000,0.0000,8,2,19.3802,2,9,200,0.5,0.0209,0.0012,0.0001,0.0001,160800,100000,4,0.7
4,,,0.0000,8,2,0.1420,1,9,400,0.5,,0.0059,,,3200,1000,4,829.
2,,,0.0000,8,1,0.3531,1,5,400,0.75,,0.0053,,,3200,2400.0,8,
4,0.0000,,0.0000,2,9,0.0964,3,1,200,0.25,,0.0008,,0.0000,8000200,1000,2,1
4,0.0000,,0.0000,8,2,1.2849,3,15,100,0.5,,0.0011,,0.0000,2030300,10000,2,1
2,0.0000,0.0000,0.0000,8,7,1.1376,2,12,200,0.25,0.0273,0.0016,0.0002,0.0001,240400,10000,8,0.6
4,,,0.0000,8,4,1.8339,3,17,100,0.5,,0.0094,,,3030200,10000,8,
4,0.0000,,0.0000,8,9,2.6994,2,17,200,0.75,,0.0021,,0.0001,160800,10000,2,1
4,0.0000,0.0000,0.0000,4,4,0.4199,3,1,100,0.5,0.0256,0.0021,0.0002,0.0003,2010100,1000,8,0.9
8,0.0000,0.0000,0.0000,8,6,0.2053,1,22,200,0.75,0.0140,0.0022,0.0001,0.0002,1600,1200.0,8,0.7
4,0.0000,0.0000,0.0000,2,1,2.8462,3,1,100,0.75,0.0208,0.0016,0.0002,0.0001,1010000,10000,2,0.6
4,0.0000,,0.0000,8,7,0.0480,1,12,100,0.5,,0.0014,,0.0000,800,600.0,2,1
8,0.0000,,0.0000,8,1,0.1242,3,12,100,0.5,,0.0017,,0.0000,4020200,1000,4,1
4,0.0000,,0.0000,8,8,1.5777,3,15,100,0.75,,0.0015,,0.0000,4020200,10000,8,1
4,,,0.0000,8,5,60.0013,1,11,200,0.25,,59.6970,,,1600,1200.0,8,
2,0.0000,,0.0000,8,4,1.4239,2,19,100,0.75,,0.0009,,0.0000,50300,10000,2,1
2,,,0.0001,8,1,0.2299,1,1,200,0.25,,0.1340,,,1600,1200.0,8,
4,,,0.0000,8,7,60.0007,1,9,400,0.75,,59.7516,,,3200,2400.0,2,
8,,,0.0000,8,5,1.9328,2,4,200,0.75,,0.0119,,,240400,10000,8,
2,0.0000,0.0000,0.0000,8,0,1.4162,3,28,100,0.5,0.0137,0.0013,0.0002,0.0001,3030200,10000,2,0.2
8,,,0.0000,8,1,13.4496,3,1,400,0.25,,0.0051,,,128481200,100000,4,
8,,,0.0000,8,9,0.9960,2,20,400,0.25,,0.0191,,,322400,10000,8,
4,0.0000,0.0001,0.0000,8,0,1.3688,3,17,100,0.5,0.0135,0.0021,0.0001,0.0001,5020100,10000,8,0.28
2,0.0000,0.0000,0.0000,8,8,24.9570,3,28,100,0.75,0.0413,0.0020,0.0002,0.0001,3010400,100000,2,0.3
4,0.0000,,0.0000,8,7,21.6316,3,15,100,0.75,,0.0024,,0.0000,5020100,100000,4,1
2,0.0001,0.0001,0.0000,8,2,0.3163,1,5,200,0.75,0.0140,0.0040,0.0002,0.0003,1600,1200.0,8,0.37
8,0.0000,,0.0000,8,5,0.1299,2,26,100,0.5,,0.0010,,0.0000,70100,1000,2,1
8,,,0.0000,8,4,60.0002,3,1,100,0.25,,43.7032,,,3030200,100000,4,
4,0.0000,,0.0000,8,3,22.8113,3,23,200,0.25,,0.0019,,0.0000,16120600,100000,2,1
2,,,0.0000,8,8,1.8573,2,12,200,0.5,,0.0141,,,280200,10000,8,
2,0.0000,,0.0000,8,4,24.4331,3,22,100,0.75,,0.0018,,0.0000,3030200,100000,2,1
8,,,0.0000,2,9,0.0556,1,1,100,0.5,,0.0032,,,200,150.0,8,
2,,,0.0000,8,2,0.0975,3,22,400,0.25,,0.0019,,,256161200,1000,2,
4,,,0.0000,4,8,6.1387,2,6,200,0.75,,0.1847,,,40600,30450.0,4,
8,0.0000,0.0000,0.0000,8,2,15.3293,3,12,400,0.75,0.0221,0.0010,0.0002,0.0001,128321600,100000,4,0.8
2,0.0000,0.0000,0.0000,8,0,28.2020,3,23,100,0.75,0.0307,0.0019,0.0002,0.0001,3000500,100000,8,0.9
2,0.0000,0.0000,0.0000,8,8,2.4824,3,21,200,0.75,0.0193,0.0014,0.0002,0.0001,16160400,10000,4,0.1
