maximum.number.of.nodes,number.of.variables,Grounding,maximum.arity,universe.size,instance,DSharp compilation,Total time,proportion.probabilistic,answer,number.of.facts,number.of.independent.pairs,Propagating evidence,Cycle breaking,Clark's completion,number.of.predicates,domain.size
4,4,0.0017,3,16080000,2,0.0004,28.9001,0.5,1,100000,1,0.0000,0.0000,0.0000,4,200
8,4,0.7040,1,3200,8,,1.0597,0.75,,2400.0,10,0.0000,,,8,400
4,4,0.0009,3,128320000,2,0.0004,2.3546,0.25,0.5,10000,1,0.0000,0.0001,0.0000,4,400
2,2,0.0014,3,192480800,2,0.0005,25.2653,0.5,0.1,100000,28,0.0001,0.0001,0.0000,8,400
8,2,0.0009,2,322400,6,0.0003,14.3851,0.5,1,100000,26,0.0000,0.0000,0.0000,8,400
2,8,0.0012,2,30500,0,0.0004,4.1145,0.75,1,22875.0,12,0.0000,0.0000,0.0000,8,100
8,2,0.0022,2,160800,9,0.0016,18.8623,0.5,1,100000,26,0.0000,0.0000,0.0001,8,200
8,8,0.5084,2,1280000,8,,22.0855,0.75,,100000,4,0.0000,,,8,400
2,4,0.0065,3,128481200,9,0.0008,2.1422,0.25,1,10000,27,0.0000,0.0001,0.0000,8,400
4,8,0.0013,3,3030200,5,0.0004,18.9891,0.75,0.7,100000,17,0.0000,0.0001,0.0000,8,100
2,2,0.0010,2,482000,7,0.0003,1.7879,0.75,0.5,10000,27,0.0000,0.0001,0.0000,8,400
4,2,0.0016,3,40120000,2,0.0005,23.5079,0.75,0.2,100000,23,0.0000,0.0001,0.0003,8,200
2,4,0.0010,3,16120600,7,0.0004,0.1068,0.75,0.2,1000,27,0.0000,0.0001,0.0000,8,200
2,4,0.0013,3,2010500,5,0.0005,2.3622,0.75,0.6,10000,21,0.0000,0.0001,0.0000,8,100
4,4,0.0015,3,24000200,3,0.0004,39.0450,0.75,1,100000,1,0.0000,0.0000,0.0000,4,200
8,4,0.0012,2,20600,0,0.0004,2.5970,0.75,0.6,15450.0,9,0.0000,0.0001,0.0000,8,100
4,8,0.0068,3,256001600,5,,0.3681,0.75,,1000,15,0.0000,,,8,400
8,8,0.0035,1,800,7,,0.0996,0.75,,600.0,22,0.0000,,,8,100
8,8,0.3958,2,801200,5,,26.1118,0.75,,100000,20,0.0000,,,8,400
8,4,0.0018,2,280200,4,0.0006,0.2060,0.75,0.5,1000,9,0.0000,0.0001,0.0000,8,200
8,4,35.6032,2,200600,9,,37.2547,0.25,,10000,9,0.0000,,,8,200
